City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
561,Napanee,CA,76.91,scattered clouds,44.2501,-76.9494,Fox Motor Inn
562,Escarcega,MX,75.88,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
577,Acajutla,SV,79.39,overcast clouds,13.5928,-89.8275,Laureles
579,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
580,Domoni,KM,77.18,light rain,-12.2569,44.5319,Al Djadid
583,Erdaojiang,CN,77.9,overcast clouds,41.7764,126.0319,Tonggang Hotel
585,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
592,Emilio Carranza,MX,79.61,scattered clouds,19.9711,-96.6114,Hotel Carranza Inn
593,Kropotkin,RU,75.47,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
594,Acarau,BR,75.99,scattered clouds,-2.8856,-40.12,castelo pizzaria
602,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
603,Portland,US,78.75,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
622,Kutum,SD,75.18,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
651,Mayo,US,79.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
662,Fernley,US,78.75,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
690,Saint Anthony,US,75.92,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
696,Coahuayana,MX,78.39,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
699,Karratha,AU,78.87,clear sky,-20.7377,116.8463,ibis Styles Karratha
712,Lagunillas,VE,78.98,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
