City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
59,Dodge City,37.7528,-100.0171,79.05,79,0,8.05,US,2022-08-01 05:35:24,clear sky
60,Miranda,3.2499,-76.2281,64.53,92,89,4.18,CO,2022-08-01 05:38:08,overcast clouds
61,San Cristobal,7.7669,-72.225,66.38,96,98,2.37,VE,2022-08-01 05:38:08,overcast clouds
62,Avarua,-21.2078,-159.775,73.45,88,20,10.36,CK,2022-08-01 05:38:08,few clouds
63,Yulara,-25.2406,130.9889,74.41,25,57,5.5,AU,2022-08-01 05:38:09,broken clouds
64,Broome,42.2506,-75.833,68.38,89,0,4.61,US,2022-08-01 05:38:09,clear sky
65,Ahipara,-35.1667,173.1667,52.3,72,8,4.43,NZ,2022-08-01 05:38:09,clear sky
66,Suntar,62.1444,117.6319,70.0,84,90,3.94,RU,2022-08-01 05:38:10,light rain
67,Marsh Harbour,26.5412,-77.0636,82.81,75,75,11.63,BS,2022-08-01 05:38:10,broken clouds
68,Albany,42.6001,-73.9662,69.58,80,76,2.82,US,2022-08-01 05:34:25,broken clouds
69,Georgetown,5.4112,100.3354,89.53,74,20,6.91,MY,2022-08-01 05:38:11,few clouds
70,Hobart,-42.8794,147.3294,53.26,64,75,19.57,AU,2022-08-01 05:36:26,moderate rain
71,Bengkulu,-3.8004,102.2655,84.36,70,61,8.28,ID,2022-08-01 05:36:26,broken clouds
72,Liberal,37.0431,-100.921,78.94,73,0,11.5,US,2022-08-01 05:35:24,clear sky
73,Geraldton,-28.7667,114.6,63.01,88,100,26.46,AU,2022-08-01 05:38:12,shower rain
74,Acapulco,16.8634,-99.8901,84.02,79,75,4.61,MX,2022-08-01 05:38:12,broken clouds
75,Montlucon,46.3333,2.6,67.03,59,0,2.64,FR,2022-08-01 05:38:12,clear sky
76,Mataura,-46.1927,168.8643,50.49,79,90,6.91,NZ,2022-08-01 05:37:46,light rain
